time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,2.2236482014775804e-09,-4.824203382828422e-08,10.007484100205627,6.28283823414878,6.283182909311364,0.0,2.2281185741294424e-07,-1.856984163079138e-05,0.24944823279025774,-0.021044863781775402,-0.00012002127652734759,0.0,482.96849424445577,482.95944442404635,481.8174173700577,480.22410310311295
0.12000000000000001,-7.143347414259503e-08,-1.464977083567126e-05,10.028643533792248,6.281872114264463,0.0001514613572100032,0.0,-1.1875488868962524e-05,-0.0005976012774324385,0.4558060268262042,-0.0077006337178281235,0.007455183040418472,0.0,469.58946370776624,470.1765720997876,468.65158996139735,469.6875618356587
0.18,-5.127598536055223e-06,-7.650763945460303e-05,10.057080323547577,6.281647644358992,0.0005168597971874078,0.0,-0.00019441545623689348,-0.0014951672613408144,0.4920716889165045,0.003189802237203944,0.003209224452758107,0.0,416.27204412433593,415.90028755191685,416.26810817948,417.21993705958397
0.23999999999999996,-2.8150649904709967e-05,-0.00019715018111455187,10.089537346831358,6.281455498483188,0.000683997593482033,0.0,-0.0005912930618443598,-0.002521354438713282,0.5897831890204616,-0.020772520171470035,0.001924632733588322,0.0,436.36477973704143,436.2574919418598,437.57397814128,435.57496962688305
0.3,-7.849105052322573e-05,-0.00039004670961241463,10.128446818211753,6.280038159243066,0.0006684136249468509,0.0,-0.0010923198108655566,-0.004046930354957437,0.7071330978715669,-0.030036328124738214,-0.0050321472243974015,0.0,442.4155959915569,441.8425225908979,443.7508301895597,442.98976313324425
0.36000000000000004,-0.00015698040972305334,-0.0007061487381962952,10.174260549094972,6.278184813540761,6.283128934427189,0.0,-0.001477111569345437,-0.00667938514113238,0.8199159818248362,-0.03265129222387221,-0.03242953779377992,0.0,442.8160331716702,440.5568774311698,441.35817394931684,441.14199575328894
0.4200000000000001,-0.00023707527851554966,-0.0012148818515426414,10.226059493845215,6.276789579013073,6.280970963417051,0.0,-0.0009886281359210347,-0.010441191784773913,0.9066492452495934,-0.009088070199051052,-0.04419026791284819,0.0,434.0141961541908,433.02547561383017,432.23483929818906,434.2156815167028
0.48000000000000015,-0.00024339178185201334,-0.001968714778789097,10.282399390454525,6.276199115227277,6.2783460944586675,0.0,0.0010332151832180014,-0.014741139609946509,0.9712930922281972,-0.01139125710083045,-0.0428775356681327,0.0,426.667354670198,426.7782370493227,426.1523664403792,425.95559169039336
0.5400000000000001,-7.258627033847312e-05,-0.0029986908263118614,10.343472887272027,6.275489359850104,6.27560241138457,0.0,0.004927575230610222,-0.01966114081832915,1.0644056099934869,-0.01271995387382736,-0.05214243197552204,0.0,435.8400898354901,435.06385189419683,435.97213294908386,435.8612353910139
0.6000000000000002,0.0004107298341305106,-0.004358759861402728,10.412690085145709,6.274385034785368,6.272629190524778,0.0,0.011527544846728473,-0.025775141804985267,1.2426536003419748,-0.03330721336654869,-0.04482418418817906,0.0,462.09759944169394,462.6726185082777,462.8571920094786,461.234343529013
0.6600000000000003,0.001261198094746207,-0.0060365715744213145,10.48398128056612,6.273099090512865,6.270287479655471,0.0,0.017000113642280823,-0.030264823091310473,1.1338318170571249,-0.0045680934834163335,-0.029417917583832883,0.0,365.75118775078954,367.28103245619025,364.76788759652925,367.62611916977727
0.7200000000000003,0.00254051998571508,-0.008051400089397132,10.553970259194475,6.272726465257973,6.2686801577477915,0.0,0.02580593709854149,-0.036926579512220135,1.1990649781732825,-0.009716036597557166,-0.02199070220317113,0.0,425.8820460887235,426.51656740414677,428.1446227864501,427.7065563879338
0.7800000000000004,0.00437392884684024,-0.010470383575705117,10.627579372265744,6.272810125265764,6.267341424940916,0.0,0.03543358174796835,-0.04372356664764081,1.2545103192778893,0.017461019256945952,-0.02296304370977783,0.0,424.37711546750336,424.2936036557188,422.54013230555114,424.87634287354314
0.8400000000000004,0.006905097669594336,-0.013349820168759264,10.710350964577009,6.274014126399475,6.265650828543343,0.0,0.04912085228534614,-0.052114388437723425,1.5042462286077545,0.02482564921368271,-0.04144971639147109,0.0,483.1607829535949,481.7649554315102,484.5769276663785,485.13010601036785
0.9000000000000005,0.010262769967922863,-0.016679594424925445,10.805749411239896,6.275492731082185,6.262853582177996,0.0,0.06309143591994275,-0.05870906287488978,1.6754624217893932,0.024276468247718026,-0.05974958117515715,0.0,462.216552975012,460.7709292468811,460.89882397879165,460.85548799379967
0.9600000000000005,0.01451167363534534,-0.020365091473403436,10.910686024152882,6.277613648605179,6.259152162236134,0.0,0.07893035873771448,-0.06393781612276533,1.8221945796388752,0.05137145592871367,-0.06588350714040996,0.0,453.62681155225044,453.13135663996724,454.05815904581203,456.22697208655484
1.0200000000000005,0.01979862990173753,-0.024312988237092072,11.024641944508511,6.280604242679168,6.255747959675379,0.0,0.09769476307165081,-0.06732353089322782,1.9760735606415227,0.04659802428199083,-0.04286504333545503,0.0,456.6250619729297,458.45524740572193,456.52504684112427,456.1455197839927
1.0800000000000005,0.02627265724211535,-0.02839793120834204,11.147486699397334,6.283149881703039,6.2532880722227375,0.0,0.1183709619486403,-0.06854991279312625,2.118490463707186,0.032411366108587025,-0.037504703340405725,0.0,453.2059269538555,453.6356839129986,455.13205487431384,453.99618086258886
1.1400000000000006,0.03405402556897424,-0.03250380984783587,11.279335757537844,0.0019588850230523036,6.250905024343606,0.0,0.14125409421979004,-0.06809521652217444,2.2761683981211416,0.034843185366124706,-0.044556115932827045,0.0,459.2023830915177,458.641949207218,459.38451592738596,459.577690450555
